Channel,Patch,Mode,Fixture,Purpose,Mode,Location,"Filters, Gobos"
1,B.37,"Standard Mode, 36 chs",Elation Artiste Picasso,TOP SPOTS,"Standard Mode, 36 chs",#1 ELECTRIC,
2,B.73,"Standard Mode, 36 chs",Elation Artiste Picasso,TOP SPOTS,"Standard Mode, 36 chs",#1 ELECTRIC,
3,B.109,"Standard Mode, 36 chs",Elation Artiste Picasso,TOP SPOTS,"Standard Mode, 36 chs",#1 ELECTRIC,
4,B.145,"Standard Mode, 36 chs",Elation Artiste Picasso,TOP SPOTS,"Standard Mode, 36 chs",#1 ELECTRIC,
5,B.181,"Standard Mode, 36 chs",Elation Artiste Picasso,TOP SPOTS,"Standard Mode, 36 chs",#1 ELECTRIC,
6,B.217,"Standard Mode, 36 chs",Elation Artiste Picasso,TOP SPOTS,"Standard Mode, 36 chs",#1 ELECTRIC,
7,B.253,"Standard Mode, 36 chs",Elation Artiste Picasso,TOP SPOTS,"Standard Mode, 36 chs",#2 ELECTRIC,
8,B.289,"Standard Mode, 36 chs",Elation Artiste Picasso,TOP SPOTS,"Standard Mode, 36 chs",#2 ELECTRIC,
9,B.325,"Standard Mode, 36 chs",Elation Artiste Picasso,TOP SPOTS,"Standard Mode, 36 chs",#2 ELECTRIC,
10,B.361,"Standard Mode, 36 chs",Elation Artiste Picasso,TOP SPOTS,"Standard Mode, 36 chs",#2 ELECTRIC,
11,B.397,"Standard Mode, 36 chs",Elation Artiste Picasso,TOP SPOTS,"Standard Mode, 36 chs",#2 ELECTRIC,
12,B.433,"Standard Mode, 36 chs",Elation Artiste Picasso,TOP SPOTS,"Standard Mode, 36 chs",#3 ELECTRIC,
13,B.469,"Standard Mode, 36 chs",Elation Artiste Picasso,TOP SPOTS,"Standard Mode, 36 chs",#3 ELECTRIC,
14,C.1,"Standard Mode, 36 chs",Elation Artiste Picasso,TOP SPOTS,"Standard Mode, 36 chs",#3 ELECTRIC,
15,C.37,"Standard Mode, 36 chs",Elation Artiste Picasso,TOP SPOTS,"Standard Mode, 36 chs",#3 ELECTRIC,
16,C.73,"Standard Mode, 36 chs",Elation Artiste Picasso,TOP SPOTS,"Standard Mode, 36 chs",#3 ELECTRIC,
17,C.109,"Standard Mode, 36 chs",Elation Artiste Picasso,TOP SPOTS,"Standard Mode, 36 chs",#3 ELECTRIC,
21,E.1,"5 Channel Mode, 5 chs",ETC ColorSource PAR (Deep Blue),TOP WASH,"5 Channel Mode, 5 chs",#1 ELECTRIC,
22,E.6,"5 Channel Mode, 5 chs",ETC ColorSource PAR (Deep Blue),TOP WASH,"5 Channel Mode, 5 chs",#1 ELECTRIC,
23,E.11,"5 Channel Mode, 5 chs",ETC ColorSource PAR (Deep Blue),TOP WASH,"5 Channel Mode, 5 chs",#1 ELECTRIC,
24,E.16,"5 Channel Mode, 5 chs",ETC ColorSource PAR (Deep Blue),TOP WASH,"5 Channel Mode, 5 chs",#1 ELECTRIC,
25,E.21,"5 Channel Mode, 5 chs",ETC ColorSource PAR (Deep Blue),TOP WASH,"5 Channel Mode, 5 chs",#1 ELECTRIC,
26,E.26,"5 Channel Mode, 5 chs",ETC ColorSource PAR (Deep Blue),TOP WASH,"5 Channel Mode, 5 chs",#2 ELECTRIC,
27,E.31,"5 Channel Mode, 5 chs",ETC ColorSource PAR (Deep Blue),TOP WASH,"5 Channel Mode, 5 chs",#2 ELECTRIC,
28,E.36,"5 Channel Mode, 5 chs",ETC ColorSource PAR (Deep Blue),TOP WASH,"5 Channel Mode, 5 chs",#2 ELECTRIC,
29,E.41,"5 Channel Mode, 5 chs",ETC ColorSource PAR (Deep Blue),TOP WASH,"5 Channel Mode, 5 chs",#2 ELECTRIC,
30,E.46,"5 Channel Mode, 5 chs",ETC ColorSource PAR (Deep Blue),TOP WASH,"5 Channel Mode, 5 chs",#2 ELECTRIC,
31,E.51,"5 Channel Mode, 5 chs",ETC ColorSource PAR (Deep Blue),TOP WASH,"5 Channel Mode, 5 chs",#3 ELECTRIC,
32,E.56,"5 Channel Mode, 5 chs",ETC ColorSource PAR (Deep Blue),TOP WASH,"5 Channel Mode, 5 chs",#3 ELECTRIC,
33,E.61,"5 Channel Mode, 5 chs",ETC ColorSource PAR (Deep Blue),TOP WASH,"5 Channel Mode, 5 chs",#3 ELECTRIC,
34,E.66,"5 Channel Mode, 5 chs",ETC ColorSource PAR (Deep Blue),TOP WASH,"5 Channel Mode, 5 chs",#3 ELECTRIC,
35,E.71,"5 Channel Mode, 5 chs",ETC ColorSource PAR (Deep Blue),TOP WASH,"5 Channel Mode, 5 chs",#3 ELECTRIC,
41,E.136,"5 Channel Mode, 5 chs",ETC ColorSource Spot 36° EDLT (Deep Blue),TEMP HS >>,"5 Channel Mode, 5 chs",#1 ELECTRIC,"579, R132"
42,E.106,"5 Channel Mode, 5 chs",ETC ColorSource Spot 26° EDLT (Deep Blue),TEMP HS >>,"5 Channel Mode, 5 chs",#1 ELECTRIC,"579, R132"
43,E.76,"5 Channel Mode, 5 chs",ETC ColorSource Spot 19° EDLT (Deep Blue),TEMP HS >>,"5 Channel Mode, 5 chs",#1 ELECTRIC,"579, R132"
44,E.141,"5 Channel Mode, 5 chs",ETC ColorSource Spot 36° EDLT (Deep Blue),TEMP HS >>,"5 Channel Mode, 5 chs",#2 ELECTRIC,"579, R132"
45,E.111,"5 Channel Mode, 5 chs",ETC ColorSource Spot 26° EDLT (Deep Blue),TEMP HS >>,"5 Channel Mode, 5 chs",#2 ELECTRIC,"579, R132"
46,E.81,"5 Channel Mode, 5 chs",ETC ColorSource Spot 19° EDLT (Deep Blue),TEMP HS >>,"5 Channel Mode, 5 chs",#2 ELECTRIC,"579, R132"
47,E.146,"5 Channel Mode, 5 chs",ETC ColorSource Spot 36° EDLT (Deep Blue),TEMP HS >>,"5 Channel Mode, 5 chs",#3 ELECTRIC,"579, R132"
48,E.116,"5 Channel Mode, 5 chs",ETC ColorSource Spot 26° EDLT (Deep Blue),TEMP HS >>,"5 Channel Mode, 5 chs",#3 ELECTRIC,"579, R132"
49,E.86,"5 Channel Mode, 5 chs",ETC ColorSource Spot 19° EDLT (Deep Blue),TEMP HS >>,"5 Channel Mode, 5 chs",#3 ELECTRIC,"579, R132"
51,E.91,"5 Channel Mode, 5 chs",ETC ColorSource Spot 19° EDLT (Deep Blue),TEMP HS <<,"5 Channel Mode, 5 chs",#1 ELECTRIC,"579, R132"
52,E.121,"5 Channel Mode, 5 chs",ETC ColorSource Spot 26° EDLT (Deep Blue),TEMP HS <<,"5 Channel Mode, 5 chs",#1 ELECTRIC,"579, R132"
53,E.151,"5 Channel Mode, 5 chs",ETC ColorSource Spot 36° EDLT (Deep Blue),TEMP HS <<,"5 Channel Mode, 5 chs",#1 ELECTRIC,"579, R132"
54,E.96,"5 Channel Mode, 5 chs",ETC ColorSource Spot 19° EDLT (Deep Blue),TEMP HS <<,"5 Channel Mode, 5 chs",#2 ELECTRIC,"579, R132"
55,E.126,"5 Channel Mode, 5 chs",ETC ColorSource Spot 26° EDLT (Deep Blue),TEMP HS <<,"5 Channel Mode, 5 chs",#2 ELECTRIC,"579, R132"
56,E.156,"5 Channel Mode, 5 chs",ETC ColorSource Spot 36° EDLT (Deep Blue),TEMP HS <<,"5 Channel Mode, 5 chs",#2 ELECTRIC,"579, R132"
57,E.101,"5 Channel Mode, 5 chs",ETC ColorSource Spot 19° EDLT (Deep Blue),TEMP HS <<,"5 Channel Mode, 5 chs",#3 ELECTRIC,"579, R132"
58,E.131,"5 Channel Mode, 5 chs",ETC ColorSource Spot 26° EDLT (Deep Blue),TEMP HS <<,"5 Channel Mode, 5 chs",#3 ELECTRIC,"579, R132"
59,E.161,"5 Channel Mode, 5 chs",ETC ColorSource Spot 36° EDLT (Deep Blue),TEMP HS <<,"5 Channel Mode, 5 chs",#3 ELECTRIC,"579, R132"
61,A.1,"Control, 1 ch",ETC Source Four 36°,HS BLUE >>,"Control, 1 ch",#1 ELECTRIC,"L161, R119"
62,A.2,"Control, 1 ch",ETC Source Four 26°,HS BLUE >>,"Control, 1 ch",#1 ELECTRIC,"L161, R119"
63,A.3,"Control, 1 ch",ETC Source Four 19°,HS BLUE >>,"Control, 1 ch",#1 ELECTRIC,"L161, R119"
64,A.4,"Control, 1 ch",ETC Source Four 36°,HS BLUE >>,"Control, 1 ch",#2 ELECTRIC,"L161, R119"
65,A.5,"Control, 1 ch",ETC Source Four 26°,HS BLUE >>,"Control, 1 ch",#2 ELECTRIC,"L161, R119"
66,A.6,"Control, 1 ch",ETC Source Four 19°,HS BLUE >>,"Control, 1 ch",#2 ELECTRIC,"L161, R119"
67,A.7,"Control, 1 ch",ETC Source Four 36°,HS BLUE >>,"Control, 1 ch",#3 ELECTRIC,"L161, R119"
