Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Identifier,External Identifier
ETC Source Four Fresnel,HPL 750/230,750W,HOUSE,,901,,A.29,"Control, 1 ch",1,LX - FIXTURES,,,,,HOUSE LIGHTS,,13.4lbs,HOUSE,0',65.19',13.90',-9.9°,0°,0°,-180°,9°,BFDC9C5B-66B9-4F1A-969A-03FCC4858B7B,
ETC Source Four Fresnel,HPL 750/230,750W,HOUSE,,901,,A.29,"Control, 1 ch",1,LX - FIXTURES,,,,,HOUSE LIGHTS,,13.4lbs,,-10',65.19',13.90',168.4°,-12.3°,177.5°,-192°,11°,B529FA10-2787-46AC-9C93-2213D4C298AF,
ETC Source Four Fresnel,HPL 750/230,750W,HOUSE,,901,,A.29,"Control, 1 ch",1,LX - FIXTURES,,,,,HOUSE LIGHTS,,13.4lbs,,-20',65.19',13.90',165.8°,49.0°,-169.2°,-130°,9°,FF0DD20E-06E5-4D47-A35F-87A096C987B1,
ETC Source Four Fresnel,HPL 750/230,750W,HOUSE,,901,,A.29,"Control, 1 ch",1,LX - FIXTURES,,,,,HOUSE LIGHTS,,13.4lbs,,10',65.19',13.90',165.8°,-41.3°,170.5°,-222°,10°,66627F25-D9AF-496E-AB35-FCAC5C5485A4,
ETC Source Four Fresnel,HPL 750/230,750W,HOUSE,,901,,A.29,"Control, 1 ch",1,LX - FIXTURES,,,,,HOUSE LIGHTS,,13.4lbs,,20',65.19',13.90',165.8°,-51.1°,168.9°,-231°,8°,D00B2406-4B99-4169-A7B2-8F5D01148819,
"De Sisti Lighting Rembrandt 1,2-2,5kW",MSR 2500 HR,2500W,STAGE WORKS,,911,,A.30,"Control, 1 ch",1,LX - WORKLIGHT,,,,,STAGE WORKS,,31.5lbs,,-58.64',45.38',-7.44',87.2°,-46.1°,86.1°,87°,43°,570F18C0-727D-47E4-8366-DE1BD6BBAE1C,
"De Sisti Lighting Rembrandt 1,2-2,5kW",MSR 2500 HR,2500W,STAGE WORKS,,911,,A.30,"Control, 1 ch",1,LX - WORKLIGHT,,,,,STAGE WORKS,,31.5lbs,,-58.64',45.38',-19.19',87.2°,-46.1°,86.1°,87°,43°,8BA02B84-2F6B-4AB2-A940-1819E648B141,
"De Sisti Lighting Rembrandt 1,2-2,5kW",MSR 2500 HR,2500W,STAGE WORKS,,911,,A.30,"Control, 1 ch",1,LX - WORKLIGHT,,,,,STAGE WORKS,,31.5lbs,,-58.64',45.38',-31.25',87.2°,-46.1°,86.1°,87°,43°,22207D42-E10E-4E7B-BAC1-ED96822106F6,
"De Sisti Lighting Rembrandt 1,2-2,5kW",MSR 2500 HR,2500W,STAGE WORKS,,911,,A.30,"Control, 1 ch",1,LX - WORKLIGHT,,,,,STAGE WORKS,,31.5lbs,,58.97',45.38',-31.25',92.8°,46.1°,-93.9°,-92°,43°,57B9E57F-B411-4320-B370-FEB40108F5C3,
"De Sisti Lighting Rembrandt 1,2-2,5kW",MSR 2500 HR,2500W,STAGE WORKS,,911,,A.30,"Control, 1 ch",1,LX - WORKLIGHT,,,,,STAGE WORKS,,31.5lbs,,58.97',45.38',-19.50',92.8°,46.1°,-93.9°,-92°,43°,2810AC5C-34BE-494E-BA56-6221911CE759,
"De Sisti Lighting Rembrandt 1,2-2,5kW",MSR 2500 HR,2500W,STAGE WORKS,,911,,A.30,"Control, 1 ch",1,LX - WORKLIGHT,,,,,STAGE WORKS,,31.5lbs,,58.97',45.38',-7.44',92.8°,46.1°,-93.9°,-92°,43°,582AD4AE-CE5F-4654-A5A7-D001D0EAB522,
